¿Qué es el 'encuadre' en el trabajo de asesoramiento pedagógico según Nicastro?,"La estructura que sostiene la intervención, permitiendo interrogar sentidos y abrir nuevas preguntas en la institución."
"Según Nicastro, las situaciones de cambio en la escuela provocan '_____' en las regularidades y certezas habituales.",Rupturas
Ricardo Malfé conceptualiza el 'malestar institucional' como el sufrimiento que surge cuando se quiebra la función _____ del trabajo.,Estructurante
Graciela Batallán sostiene que los docentes suelen asociar el poder con la _____ y la dominación.,Violencia
¿Qué es el 'nudo ciego' del poder docente según Batallán?,"La dificultad de enlazar los mandatos políticos con la vida cotidiana escolar, viendo al docente como víctima y victimario a la vez."
¿A qué se refiere Baquero con 'prácticas de gobierno del desarrollo subjetivo'?,"A que las prácticas educativas no solo facilitan el desarrollo, sino que configuran escenarios que producen formas de subjetividad particulares."
"En la teoría de Althusser, ¿qué aparato asegura por la fuerza las condiciones políticas de reproducción?",El Aparato Represivo de Estado.
"Según Lourau, el momento de la _____ es la unidad negativa resultante de la acción de la negatividad sobre la norma universal.",Singularidad
"Para Lidia Fernández, los analizadores _____ son aquellos acontecimientos no programados que revelan la idiosincrasia institucional.",Naturales
¿Qué característica distingue al aprendizaje situado del aprendizaje escolar tradicional (de 'experimento')?,Se entiende como un proceso multidimensional de apropiación cultural que involucra la identidad y la afectividad.
"En la matriz de Comenius, la diversidad de ingenios se clasifica en seis temperamentos que resultan de la combinación de agudeza, ductilidad y _____.",Afición (u objetividad ante las letras o mecánica).
¿Por qué Althusser afirma que 'no existe aparato puramente ideológico'?,"Porque los AIE también utilizan una represión secundaria, atenuada o simbólica (como sanciones y exclusiones)."
"Según Berger y Luckmann, la institucionalización ocurre cuando hay una tipificación recíproca de acciones _____.",Habitualizadas
¿Qué autor menciona que el hombre sin disciplina es el más feroz animal que produce la tierra?,Comenius (en su obra Didáctica Magna).
Nicastro señala que la historia institucional es una variable _____ del funcionamiento de la escuela.,Estructurante
"Según Batallán, la autoridad pedagógica tradicional basada en la verticalidad ha entrado en _____.",Crisis
"En el análisis de Lidia Fernández, ¿qué función cumplen los 'mitos sobre el origen' en la institución?",Sostener y legitimar el modelo y los resultados institucionales frente a críticas externas.
¿Cómo se define la 'unidad de análisis' en la psicología cultural vigotskiana?,Como el recorte mínimo de un fenómeno que conserva las propiedades del conjunto (sujeto en situación).
"Para Althusser, ¿quiénes son los 'profesionales de la ideología'?","Agentes encargados de inculcar la ideología dominante en los AIE (maestros, sacerdotes, etc.)."
"Según Lourau, ¿qué tipo de sociología olvida que la unidad funcional de una organización es siempre negativa?",La sociología de las organizaciones (funcionalista).
"En la teoría de Baquero, la interiorización es el proceso de formación del propio plano _____.",Interior (o interioridad).
¿Qué autor propone que el poder se conforma por relaciones de fuerza múltiples y focos locales de poder-saber?,Michel Foucault (citado por Batallán).
"Para Fernández, la '______ institucional' se evidencia en la resistencia de los miembros a conocer la realidad de su establecimiento.",Negación
"Según Bernstein, la pedagogía _____ se asocia con un reducido énfasis en la transmisión de habilidades específicas.",Invisible
¿Qué componente del estilo institucional controla los desvíos y orienta la acción según Fernández?,Los modos de producción (técnicas y modelos).
Nicastro afirma que el asesoramiento pedagógico debe permitir que nos exploremos a nosotros mismos en nuestra posición de _____.,Asesores
¿Qué autor vincula el fracaso escolar masivo con el deterioro de las condiciones vitales de los sectores populares?,Ricardo Baquero.
"En la lógica de Lourau, ¿qué es la 'negatividad absoluta'?",La capacidad de una organización parcial de entrar en oposición total con el sistema social.
"Según Althusser, la ideología representa la relación _____ de los individuos con sus condiciones reales de existencia.",Imaginaria
Concepto: El Sujeto (con mayúscula) en Althusser.,"Definición: La entidad ideológica central (Dios, el Estado, etc.) que garantiza el reconocimiento de los sujetos individuales."
"Según Baquero, la idea de rendimiento diferencial del alumno es impensable fuera de la matriz _____.",Escolar
¿Cuál es el objetivo final de la democratización de las relaciones escolares según Batallán?,Integrar la conflictividad inherente como una dimensión pedagógica y participativa.
"Para Lidia Fernández, los 'objetos materiales' de la institución pertenecen al _____ nivel de complejidad cultural.",Primer
"Según Comenius, ¿qué sucede con el hombre si no recibe la 'verdadera disciplina'?",Se convierte en el más feroz animal que produce la tierra.
"En el enfoque de Nicastro, ¿qué dimensión del sujeto incluye los deseos y fantasías ligados al mundo interno?",La dimensión psicológica (o individual) del rol.
"Según Althusser, ¿qué clase ejerce su hegemonía a través de los Aparatos Ideológicos de Estado?",La clase dominante.
